ident,latitude_deg,longitude_deg,name,continent,iso_country
CYSY,71.993896,-125.242996,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,NA,CA
CYSZ,49.1203,-66.529198,Sainte-Anne-des-Monts Aerodrome,NA,CA
CYTA,45.86439895629883,-77.25170135498047,Pembroke Airport,NA,CA
CYTE,64.230003,-76.526703,Cape Dorset Airport,NA,CA
CYTF,48.5089,-71.641899,Alma Airport,NA,CA
CYTH,55.80110168457031,-97.86419677734376,Thompson Airport,NA,CA
CYTL,53.817799,-89.896896,Big Trout Lake Airport,NA,CA
CYTN,45.611904,-62.621102,Trenton Airport,NA,CA
CYTQ,58.667801,-69.955803,Tasiujaq Airport,NA,CA
CYTR,44.118900299072266,-77.5280990600586,CFB Trenton,NA,CA
CYTS,48.5696983337,-81.376701355,Timmins/Victor M. Power,NA,CA
CYTZ,43.627499,-79.396202,Billy Bishop Toronto City Centre Airport,NA,CA
CYUB,69.433296,-133.026001,Tuktoyaktuk / James Gruben Airport,NA,CA
CYUL,45.467837,-73.742294,Montreal / Pierre Elliott Trudeau International Airport,NA,CA
CYUT,66.521024,-86.225166,Naujaat Airport,NA,CA
CYUX,68.7761,-81.2425,Hall Beach Airport,NA,CA
CYUY,48.20610046386719,-78.83560180664062,Rouyn Noranda Airport,NA,CA
CYVB,48.071098,-65.460297,Bonaventure Airport,NA,CA
CYVC,55.1514015198,-105.262001038,La Ronge Airport,NA,CA
CYVD,49.8783,-100.917999,Virden / RJ (Bob) Andrew Field Regional Aerodrome,NA,CA
CYVG,53.357714,-110.827388,Vermilion Airport,NA,CA
CYVK,50.246163,-119.330963,Vernon Regional Airport,NA,CA
CYVL,67.02,-126.126,Tommy Kochon Airport,NA,CA
CYVM,67.54656,-64.03141,Qikiqtarjuaq Airport,NA,CA
